ID	course_code	SUBJ_DESC	COLL_DESC	DEPT_DESC	Long_Title	COURSE_DESC	Related_To_Data_Science
349	ECO-643	Economics	Sch of Business and Economics	Economics	Econometric Methods	Introduction to advanced econometric applications. Topics may include seemingly unrelated regressions, simultaneous equations, identification, two-stage least squares, and sample selection models. Application to economic data using statistical software emphasized.	1
350	ECO-644	Economics	Sch of Business and Economics	Economics	Econometric Theory	Foundations of mathematical statistics and linear econometric models. Topics include discrete and continuous probability distributions, random sampling and asymptotic analysis, the linear regression model, hypothesis testing, and statistical programming and simulation using SAS or other statistical software.	1
351	ECO-646	Economics	Sch of Business and Economics	Economics	Macroeconomics	Advanced theory of aggregate economic activity. Economic models developed to explain economic growth, activity, and fluctuations based on classical, Keynesian, monetarist, and new classical schools of thought.	0
352	ECO-663	Economics	Sch of Business and Economics	Economics	Predictive Data Mining	Provides a working knowledge of statistical tools important to the emerging and practically relevant field of predictive data mining and the discovery of patterns in big data sets.	1
353	ECO-664	Economics	Sch of Business and Economics	Economics	Time Series and Forecasting	Students learn to analyze and forecast time series data. Topics include stochastic linear difference equations, tests for trends and stationarity, and ARIMA modeling. Application to economic data emphasized.	1
354	ECO-691	Economics	Sch of Business and Economics	Economics	Economics Internship	Individual course of study consisting of an applied economics and/or data analysis component and written work that complements the program's academic work. Supervised by faculty and an appropriate manager.	1
355	ECO-712	Economics	Sch of Business and Economics	Economics	Directed Studies in Economics III	Individual study of an advanced topic in economics. Regular conferences with the instructor are required.	0
356	ECO-721	Economics	Sch of Business and Economics	Economics	Empirical Microeconomics	Examines empirical investigations of advanced microeconomic theory including experimental and nonexperimental designs and natural experiments. Applications vary by semester but are typically drawn from labor, health, public and financial economics.	0
357	ECO-725	Economics	Sch of Business and Economics	Economics	Data Methods in Economics	Advanced techniques in data preparation; topics include data formats, error checking, merging data, large data sets, and missing observations. Students work extensively with SAS.	1
358	ECO-731	Economics	Sch of Business and Economics	Economics	Applied Policy Methods	Provides applied foundation for policy study with emphasis on an economic efficiency perspective including history of policy analysis, market and government failure, and alternative methods for policy analysis.	0
359	ECO-734	Economics	Sch of Business and Economics	Economics	Public Policies Toward Innovation	Examines public-sector innovation policies from a domestic and global perspective.	0
360	ECO-735	Economics	Sch of Business and Economics	Economics	Labor Economics	Examines the operation of the labor market, its institutions, and labor market policies. Topics include labor supply and demand, returns to education, family and household economics, wage inequality, and unions.	0
361	ECO-736	Economics	Sch of Business and Economics	Economics	Public Economics	Examines governmental expenditures and taxes and the constraints imposed on them within a federal, multi-tiered governmental structure. Topics include education, public health, housing and community development, infrastructure, and environmental regulation.	0
362	ECO-737	Economics	Sch of Business and Economics	Economics	Health Economics	Examines the market for health services and the production of health. Topics include the demand and supply for health care professionals, health insurance and financing, and regulation of medical markets.	0
363	ECO-738	Economics	Sch of Business and Economics	Economics	Topics in Economics	Application of economic theory and econometrics to a specific topic in public, labor, or health.	0
364	ECO-739	Economics	Sch of Business and Economics	Economics	Independent Field Course	A faculty-directed, independent study of a research area that is particularly related to a student's primary field of interest.	0
365	ECO-741	Economics	Sch of Business and Economics	Economics	Advanced Mathematical Economics	Mathematical concepts and techniques that are used in advanced economic theory. Material includes sets and functions, constrained and unconstrained programming, and difference and differential equations.	0
366	ECO-742	Economics	Sch of Business and Economics	Economics	Advanced Microeconomic Theory	Examines decision making by households and firms with an emphasis on the meaning and empirical interpretation of theoretical models. Topics include duality theory, general equilibrium, and welfare economics.	0
367	ECO-745	Economics	Sch of Business and Economics	Economics	Advanced Econometric Theory	Presents fundamental concepts in statistics and least squares estimation and inference within single-equation linear models, instrumental variable approaches, and multivariate regression contexts. Concludes with introduction to nonlinear regression. Includes lab.	1
368	ECO-746	Economics	Sch of Business and Economics	Economics	Advanced Econometric Theory II	Advanced methods in microeconomic analysis, covers linear models for panel data with unobserved heterogeneity, M-estimators, maximum likelihood, generalized methods of moments, and discrete response models. Includes lab.	1
369	ECO-797	Economics	Sch of Business and Economics	Economics	Seminar in Empirical Economics	A supervised seminar in which students formulate a major empirical research  project and identify, collect, and assemble the data required to pursue that research.	0
370	ECO-798	Economics	Sch of Business and Economics	Economics	Seminar in Economic Research	A supervised research seminar in which students complete an extensive review of the literature in their chosen area of research specialization.	0
371	ELC-609	Educ Ldrship and Cultrl Fndts	School of Education	Ed Ldrship & Cultural Found	Epistemology and Education	An overview of several systems of knowledge and the problems of knowing, knowing how, and belief. Deals with intellect, rationality, and positional knowledge.	0
372	ELC-615	Educ Ldrship and Cultrl Fndts	School of Education	Ed Ldrship & Cultural Found	Foundations of Curriculum	Historical, cultural, and sociopolitical foundations of curriculum theory and practice. Emphasis on ideological shifts in transformative practice, curriculum development/analysis, and relations between curriculum, individual, and society.	0
373	ELC-616	Educ Ldrship and Cultrl Fndts	School of Education	Ed Ldrship & Cultural Found	Culturally Responsive Leadership	Theories of and strategies related to culturally responsive leadership that will prepare K-12 school leaders to develop effective and equitable, multicultural school communities.	0
374	ELC-625	Educ Ldrship and Cultrl Fndts	School of Education	Ed Ldrship & Cultural Found	Seminar in Teaching and Social Foundations of Education	Critical consideration of the purpose and philosophy of undergraduate social foundations courses, perspectives and approaches to teaching, and reflection on issues and problematics of critical pedagogy.	0
375	ELC-660	Educ Ldrship and Cultrl Fndts	School of Education	Ed Ldrship & Cultural Found	The School Principalship	For prospective principals. Functions in organizing people to meet educational goals, leadership in instruction, supervision, curriculum design and development, personnel administration, and ethical and legal responsibilities.	0
376	ELC-661	Educ Ldrship and Cultrl Fndts	School of Education	Ed Ldrship & Cultural Found	Ethics and Education	Appraisal of human aims and practices, attitudes towards character, and conceptions of desirable human life, as these are related to educational theory and practice.	0
377	ELC-662	Educ Ldrship and Cultrl Fndts	School of Education	Ed Ldrship & Cultural Found	Power, Politics, and Schools	The politics of education as the set of interactions that influence and shape the authoritative allocation of values in this society and its educational organizations.	0
378	ELC-664	Educ Ldrship and Cultrl Fndts	School of Education	Ed Ldrship & Cultural Found	Introduction to Qualitative Inquiry: A Social Justice Approach	Theoretical and philosophical dimensions of interpretive inquiry in education; concepts that are the foundation for qualitative methodologies in educational research.	0
379	ELC-665	Educ Ldrship and Cultrl Fndts	School of Education	Ed Ldrship & Cultural Found	Approaches to Qualitative Inquiry	Introduction to empirical qualitative research: philosophical foundations, research design strategies, method for data collection and analysis (especially interviewing and field observation), options for reporting research. Emphasis on skill development.	1
380	ELC-666	Educ Ldrship and Cultrl Fndts	School of Education	Ed Ldrship & Cultural Found	Writing Preparation and Proposal Development	Workshop addresses dissertation process and academic professional development in ways that build on the theory and practice of scholarly writing.	0
381	ELC-670	Educ Ldrship and Cultrl Fndts	School of Education	Ed Ldrship & Cultural Found	Leadership for Teaching and Learning	Examines conceptions of "good" schools and the nature of instruction, curriculum, assessment, and professional development. Explores leadership, change, and school renewal that works toward good schooling and pedagogy.	0
382	ELC-671	Educ Ldrship and Cultrl Fndts	School of Education	Ed Ldrship & Cultural Found	Principal Fellows Seminar	Provides enrichment activities for Principals Fellows as required by the Principal Fellows Program.	0
383	ELC-672	Educ Ldrship and Cultrl Fndts	School of Education	Ed Ldrship & Cultural Found	Technology and Administrative Leadership	How school leaders can use technology to meet their management, instructional, inquiry, and problem solving responsibilities.	0
384	ELC-673	Educ Ldrship and Cultrl Fndts	School of Education	Ed Ldrship & Cultural Found	Principal Leadership for Special Education	Strategies school principals can use to advocate and implement programs for exceptional children that are effective for students and compliant with legal requirements.	0
385	ELC-675	Educ Ldrship and Cultrl Fndts	School of Education	Ed Ldrship & Cultural Found	Schools as Centers of Inquiry	Effective schools function as professional learning communities characterized by a culture of inquiry and collaboration. Builds the skills of students in facilitating individual and whole school inquiry.	0
386	ELC-680	Educ Ldrship and Cultrl Fndts	School of Education	Ed Ldrship & Cultural Found	Transnational and Postcolonial Feminist Perspectives	Study of transnational and postcolonial feminist perspectives in multiple world regions. Emphasis on global political developments, grassroots efforts to use education as social change, and developing critical power literacies.	0
387	ELC-682	Educ Ldrship and Cultrl Fndts	School of Education	Ed Ldrship & Cultural Found	Teaching Social Justice	Examines various ways people might teach to promote social justice.  Explores conceptual frameworks for understanding issues of oppression and privilege.  Opportunity to apply diverse pedagogical strategies.	0
388	ELC-683	Educ Ldrship and Cultrl Fndts	School of Education	Ed Ldrship & Cultural Found	Engaging the Public in Education	Examination of parent involvement in schooling, school/family/community partnerships, civic deliberation about education, school's role in community transformation. Emphasis on equity/justice, school's accountability to the public, research evidence, effective practice.	0
389	ELC-684	Educ Ldrship and Cultrl Fndts	School of Education	Ed Ldrship & Cultural Found	Teacher Rights, Recruitment, Retention, and Evaluation 	Processes and systems to recruit, induct, support, evaluate, develop, and retain a high quality staff. Legal and ethical reasoning systems influencing school administrators with regard to teachers' legal rights.	0
390	ELC-685	Educ Ldrship and Cultrl Fndts	School of Education	Ed Ldrship & Cultural Found	Passionate Pedagogies	Examination of how passion, on the part of both teachers and learners, can become a motivating force for deeper understandings of ourselves and critical social issues.	0
391	ELC-686	Educ Ldrship and Cultrl Fndts	School of Education	Ed Ldrship & Cultural Found	Curriculum Theory	The nature of theory and of theory building; application of theoretical criteria to the field of curriculum.	0
392	ELC-687	Educ Ldrship and Cultrl Fndts	School of Education	Ed Ldrship & Cultural Found	Legal and Ethical Dimensions of Leadership	The constitutional and statutory precedents and principles underlying the roles of federal, state, and local governments in public education. Recent court decisions relating to public education; development of awareness of freedoms and constraints of law and ability to implement and apply the intention of law and court decisions to practical problems of school administration.	0
393	ELC-688	Educ Ldrship and Cultrl Fndts	School of Education	Ed Ldrship & Cultural Found	Contemporary Problems Seminar	Specific course title identified each semester by subscript, e.g., Contemporary Problems Seminar: Issues in Professional Negotiations.	0
394	ELC-688	Educ Ldrship and Cultrl Fndts	School of Education	Ed Ldrship & Cultural Found	Contemporary Problems Seminar	Specific course title identified each semester by subscript, e.g., Contemporary Problems Seminar: Issues in Professional Negotiations.	0
395	ELC-690	Educ Ldrship and Cultrl Fndts	School of Education	Ed Ldrship & Cultural Found	Practicum in Educational Administration	Planned administrative functions in appropriate school setting with objective of providing direct experience with processes and functions of educational administration. Supervision is shared responsibility of university and public school faculties.	0
396	ELC-691	Educ Ldrship and Cultrl Fndts	School of Education	Ed Ldrship & Cultural Found	Urban School Organizational Leadership: Best Practices	Examines organizational dimensions of urban schooling including structure, culture, politics, bureaucracy, community. Explores practical organizational leadership reform initiatives that aim to promote educational excellence and encourage social justice.	0
397	ELC-694	Educ Ldrship and Cultrl Fndts	School of Education	Ed Ldrship & Cultural Found	Cultural and Political Dimensions of Schooling	Structures and processes of school governance, including the impacts of district, state and Federal policies, and influence of special interest groups. Attention to policy development, advocacy, implementation, analysis, and critique.	0
398	ELC-700	Educ Ldrship and Cultrl Fndts	School of Education	Ed Ldrship & Cultural Found	Critical Perspectives in Education, Leadership, and Culture 	Explores the challenges of educational transformation, including improved teaching and learning, equity/social justice, and democracy in institutions with complex cultural contexts. Introduction to habits of mind for advanced graduate study.	0
399	ELC-701	Educ Ldrship and Cultrl Fndts	School of Education	Ed Ldrship & Cultural Found	The School Superintendency	Designed for both aspiring superintendents and central office administrators. Focuses on basic knowledge and skill development around a broad range of issues critical to superintendent success.	0
400	ELC-702	Educ Ldrship and Cultrl Fndts	School of Education	Ed Ldrship & Cultural Found	School District Leadership	This course prepares school administrators to lead school districts. District leadership requires enacting a vision, organizing personnel, and managing operations to address human and community needs.	0
401	ELC-705	Educ Ldrship and Cultrl Fndts	School of Education	Ed Ldrship & Cultural Found	Foundations of Critical Theory	Provides a survey of foundational critical theorists, the Frankfurt School, and contemporary fields of study on power, social, cultural, and economic life through historical and sociopolitical analysis.	0
402	ELC-706	Educ Ldrship and Cultrl Fndts	School of Education	Ed Ldrship & Cultural Found	History of Education in the United States	Historical foundations of the educational system in the U.S. Contributions of selected educational leaders and the responses of the educational system to the dilemmas posed by major events and movements in the history of the country.	0
403	ELC-707	Educ Ldrship and Cultrl Fndts	School of Education	Ed Ldrship & Cultural Found	Philosophies in Education	Major philosophic viewpoints (traditional and contemporary) as they apply to education; analysis of past and present changes in educational outlook and practices.	0
404	ELC-708	Educ Ldrship and Cultrl Fndts	School of Education	Ed Ldrship & Cultural Found	Educational Sociology: Race, Class, and Gender Power Dynamics	Key sociological concepts and theories are utilized to analyze, critique, and understand how power operates on both micro and macro levels within United States educational systems.	0
405	ELC-709	Educ Ldrship and Cultrl Fndts	School of Education	Ed Ldrship & Cultural Found	Introduction to Critical Pedagogy	Introduction to the theory and practice of critical pedagogy including its relationship to critical social theory. Emphasis on education as vehicle for social change, moral critique, and personal transformation.	0
406	ELC-710	Educ Ldrship and Cultrl Fndts	School of Education	Ed Ldrship & Cultural Found	Data Literacy and Structured Inquiry	This course focuses on data literacy and structured inquiry for educational leaders. Throughout the course, there will be an emphasis on ethical and equity issues regarding data and inquiry.	0
407	ELC-722	Educ Ldrship and Cultrl Fndts	School of Education	Ed Ldrship & Cultural Found	Aesthetics, Visual Studies, and Critical Pedagogy 	Aesthetics, visual literacy, visual culture, semiotics, and their influences in contemporary education. Development of critical visual literacy for the understanding and integration of the arts in pedagogy.	0
408	ELC-730	Educ Ldrship and Cultrl Fndts	School of Education	Ed Ldrship & Cultural Found	Democracy and Education	Study of the meaning of democracy, the relationship between democracy and education, and the role of schooling in preparing citizens.	0
409	ELC-749	Educ Ldrship and Cultrl Fndts	School of Education	Ed Ldrship & Cultural Found	Doctoral Dissertation Seminar	Develop, discuss, and defend a dissertation prospectus.	0
410	ELC-750	Educ Ldrship and Cultrl Fndts	School of Education	Ed Ldrship & Cultural Found	Advanced Seminar in School Law Research	Case studies in school law.	0
411	ELC-751	Educ Ldrship and Cultrl Fndts	School of Education	Ed Ldrship & Cultural Found	Cases and Concepts in Educational Leadership	Uses cases and problem-based learning as opportunities to explore key analytic/theoretical perspectives and research evidence relevant to leadership for meaningful and equitable educational reform.	0
412	ELC-752	Educ Ldrship and Cultrl Fndts	School of Education	Ed Ldrship & Cultural Found	Theories in Educational Administration	The nature of theory, definition, utilization; contemporary theories applied to educational administration; system theory and its application possibilities to educational administration.	0
413	ELC-754	Educ Ldrship and Cultrl Fndts	School of Education	Ed Ldrship & Cultural Found	Personal Leadership Assessment and Enhancement	For students who intend to pursue educational leadership roles and careers in administration. Emphasizes development of creative leadership potential and maximization of personal growth.	0
414	ELC-767	Educ Ldrship and Cultrl Fndts	School of Education	Ed Ldrship & Cultural Found	Qualitative Data Collection and Analysis	In-depth experience in qualitative data collection and analysis beyond the introductory level. Completion of a qualitative research project in collaboration with other students in the class.	1
415	ELC-790	Educ Ldrship and Cultrl Fndts	School of Education	Ed Ldrship & Cultural Found	Internship in Educational Leadership	Directed year-long internship in an appropriate educational administration field-based setting. Supervision shared by department faculty and field-based mentors.	0
416	ENG-513	English	College of Arts and Sciences	English	History of the English Language	Origins and development of the English language, methods of historical language study, and competing theories of linguistic change. Practical emphasis on reading and analysis of texts in Old, Middle, and Early Modern English.	0
417	ENG-522	English	College of Arts and Sciences	English	Teaching Composition: Theories and Applications	Theories of the composing process and of discourse generally as they apply to the problems of teaching composition. Background studies in language and other related areas. Specific approaches to teaching composition, their rationales and their comparative usefulness.	0
418	ENG-535	English	College of Arts and Sciences	English	Entrepreneurship and Independent Press Publishing	Exploration, analysis, and participation in independent press publishing from inception to final product while practicing the entrepreneurial strategies needed to begin a successful venture.	0
419	ENG-537	English	College of Arts and Sciences	English	Middle English Literature	Language and literature of the thirteenth-, fourteenth-, and fifteenth-century England.	0
420	ENG-540	English	College of Arts and Sciences	English	Shakespeare	Major comedies, histories, tragedies selected for topical study. Related background readings and criticism.	0
421	ENG-541	English	College of Arts and Sciences	English	Milton	Milton's major poems and his most important prose works in their seventeenth-century setting.	0
422	ENG-549	English	College of Arts and Sciences	English	The Critical Canon and Contemporary Issues	Important critical writings from ancient Greece through the nineteenth century, emphasizing their influence upon modern theory and practice.	0
423	ENG-565	English	College of Arts and Sciences	English	American Prose After 1900	American prose written after 1900, with an emphasis on historical context, prose traditions in America, and the development of form, style, and genre.	0
424	ENG-601	English	College of Arts and Sciences	English	English Studies: Content, Methods, and Bibliography 	A general consideration of the discipline of English, the most useful materials and approaches, and the objectives, problems, and issues in the study of language and literature.	0
425	ENG-602	English	College of Arts and Sciences	English	Electronic Research, Writing, and Editing 	Theory and application of computer technology in the study of language, rhetoric and composition, and literature, including related ethical, social, and philosophical issues.	0
426	ENG-604	English	College of Arts and Sciences	English	Electronic Discourse and User Documentation	The study of such user documentation as reference manuals, tutorials, and operating procedures in its traditional, paper-based form and its transformation into electronic form.	0
427	ENG-608	English	College of Arts and Sciences	English	Chaucer	Chaucer's major works, including The Canterbury Tales and Troilus and Criseyde.	0
428	ENG-618	English	College of Arts and Sciences	English	Literary Citizenship	Exploration of the concepts and motivations of literary citizenship, focusing on its collaborative nature and its potential to enhance both your practice as a writer and your professional prescence.	0
429	ENG-620	English	College of Arts and Sciences	English	Contemporary Publishing	An introduction to current practices in the publishing industry from manuscript preparation to the printed book or magazine.	0
430	ENG-622	English	College of Arts and Sciences	English	Internship in English	Practical experience in writing, editing, or other fields related to English studies. Students work under supervision of professionals.	0
431	ENG-623	English	College of Arts and Sciences	English	Writing-Advanced: Nonfiction	Workshop in writing and publishing essays and nonfiction literature (including biography, autobiography, literary and cultural criticism, and extended forms of investigative and analytical reporting).	0
432	ENG-630	English	College of Arts and Sciences	English	Early American Literature	Literature in the New World to 1820. Topics include exploration and contact, Puritanism, the Great Awakening, the Revolution, and the rise of captivity and travel narratives and the novel.	0
433	ENG-638	English	College of Arts and Sciences	English	Southern American Writers	Principal authors, from colonial times to the present, and literary movements related to the development and influence of the Southern tradition in American literature.	0
434	ENG-642	English	College of Arts and Sciences	English	Topics in Pre-1800 Literature	Exploration of selected topics in literature in English before 1800.	0
435	ENG-650	English	College of Arts and Sciences	English	Modern Literary and Cultural Theory	Survey of literary theory from the linguistics of Saussure through recent developments such as poststructuralism, feminist theory, reception theory, and cultural studies. Emphasis on relationships among language, culture, and literature.	0
436	ENG-659	English	College of Arts and Sciences	English	Digital Literacies and Online Rhetorics	Analysis of online rhetorics, digital literacies, and Internet/multimedia technologies as applicable to research on readers and writers interacting within online environments.	1
437	ENG-664	English	College of Arts and Sciences	English	Topics in Post-1800 Literature	Exploration of selected topics in literature in English after 1800.	0
438	ENG-670	English	College of Arts and Sciences	English	Directed Master's Research	Directed research project for students in the MED program. To be taken at the end of the student's plan of study.	0
439	ENG-675	English	College of Arts and Sciences	English	Scholarly and Critical Writing for the Profession	Instruction in scholarly and professional writing for doctoral students in English. Emphasis on writing for presentation and publication in the field. Practice in disciplinary conventions through in and out-of-class exercises.	0
440	ENG-680	English	College of Arts and Sciences	English	Teaching Internships in English	Practice in planning and conducting college-level classes under guidance of senior faculty member. Research project in conjunction with internship, under guidance of supervisor and assigned faculty.	0
441	ENG-682	English	College of Arts and Sciences	English	The Structure of Verse	Verse forms and sound patterns in English and American poetry.	0
442	ENG-683	English	College of Arts and Sciences	English	The Structure of Fiction	Elements of prose fiction, with an emphasis on the theory and art of narrative structure.	0
443	ENG-688	English	College of Arts and Sciences	English	Women's Rhetoric and Feminist Pedagogy	Seminar in history and theory of women's rhetoric and feminist approaches to teaching. Examines women's writing and teaching in their cultural, social, ethnic, racial contexts.	0
444	ENG-690	English	College of Arts and Sciences	English	History of Rhetoric: Classical through Renaissance	Origins, developments, and competing views of rhetoric from classical antiquity into the 17th century; intersections of rhetoric and public discourse, poetics, education, and gender.	0
445	ENG-691	English	College of Arts and Sciences	English	History of Rhetoric: Enlightenment through Contemporary	Developments and competing views of rhetoric from the Enlightenment to the present; intersections of rhetoric and public discourse, poetics, education, and gender.	0
446	ENG-706	English	College of Arts and Sciences	English	Topics in Gender and Sexuality Studies	Intensive work at an advanced level on a selected topic in Gender and Sexuality Studies.	0
447	ENG-710	English	College of Arts and Sciences	English	Studies in English Renaissance Literature	Investigation of selected authors or topics.	0
448	ENG-713	English	College of Arts and Sciences	English	Studies in Seventeenth-Century British Literature	Selected writers, topics, and genres characteristic of the Stuart era in English literature. Topics include 17th century English lyrics and 17th century prose.	0
449	ENG-717	English	College of Arts and Sciences	English	Studies in Eighteenth-Century British Literature	Study of a major author, movement, or genre, 1660-1800.	0
450	ENG-719	English	College of Arts and Sciences	English	Studies in British Romanticism	Study of one or more British Romantic writers, and of Romanticism as a movement.	0
451	ENG-721	English	College of Arts and Sciences	English	Studies in Victorian Literature and Culture	Topics in Victorian literature, with emphasis on such broad cultural issues as empire, gender, industrialization, or aestheticism.	0
452	ENG-725	English	College of Arts and Sciences	English	Studies in Modernism	Study of literary modernism in the period 1890-1940, with particular emphasis on the range of textual and ideological experiment characteristic of the era.	0
453	ENG-730	English	College of Arts and Sciences	English	Studies in American Literature	Exploration of topics in American literature to connect works from different periods, genres, and communities, uncovering broad patterns and trends.	0
454	ENG-731	English	College of Arts and Sciences	English	Studies in American Literature before 1900	Selected major literary figures and movements.	0
455	ENG-733	English	College of Arts and Sciences	English	Studies in American Literature after 1900	Selected major literary figures and movements.	0
456	ENG-734	English	College of Arts and Sciences	English	Studies in American Women Writers	Intensive study of a particular area of American women's writing and affiliated critical work.	0
457	ENG-735	English	College of Arts and Sciences	English	Studies in African-American Literature	Topics, theories, movements, and authors that comprise the African-American literary tradition.	0
458	ENG-737	English	College of Arts and Sciences	English	Studies in Multi-Ethnic American Literature	Literatures of American ethnic groups, especially less-taught texts written by Chicano/Latino/Latina-, Asian-, African-, Native-, and Euro-Americans (Jewish, Italian, Irish, German, etc.).	0
459	ENG-740	English	College of Arts and Sciences	English	Studies in Contemporary and Postmodern American Literature	Topics in contemporary and postmodern American literature, culture, and theory.	0
460	ENG-742	English	College of Arts and Sciences	English	Studies in Rhetorical Theory and Practice	Themes, eras, and/or theorists in the history of rhetorical theory and practice.	0
461	ENG-744	English	College of Arts and Sciences	English	Seminar in Composition Studies	Studies in special topics related to literacy, the process of composing, composition pedagogy, and composition research.	0
462	ENG-746	English	College of Arts and Sciences	English	Studies in Contemporary Rhetorical Theory	Problems and topics in contemporary rhetorical theory; recent trends, issues, methods of rhetorical theory and related disciplines.	0
463	ENG-747	English	College of Arts and Sciences	English	Teaching College Writing	The teaching of first-year writing at the college level, including history and theories of writing pedagogy and current best practices.	0
464	ENG-780	English	College of Arts and Sciences	English	Independent Doctoral Study	Intensive review of literature and criticism in a given field in preparation for preliminary examination or dissertation.	0
465	ENS-620	Music Ensemble	College Visual/Performing Arts	School of Music	Flute Ensemble	Performance of literature from all eras, including contemporary works for this medium.	0
466	ENS-624	Music Ensemble	College Visual/Performing Arts	School of Music	Saxophone Ensemble	Performance of literature from all eras, including contemporary works for this medium.	0
467	ENS-630	Music Ensemble	College Visual/Performing Arts	School of Music	Violin Ensemble	Performance of literature from all eras, including contemporary works for this medium.	0
468	ENS-631	Music Ensemble	College Visual/Performing Arts	School of Music	Viola Ensemble	Performance of literature from all eras, including contemporary works for this medium.	0
469	ENS-634	Music Ensemble	College Visual/Performing Arts	School of Music	Camerata	Performance of literature from all eras, including contemporary works for this medium.	0
470	ENS-647	Music Ensemble	College Visual/Performing Arts	School of Music	Casella Sinfonietta	Chamber literature for winds, strings, and percussion from all eras, including contemporary works for this medium.	0
471	ENS-648	Music Ensemble	College Visual/Performing Arts	School of Music	Chamber Music	Group study and performance of selected chamber music literature/jazz combo literature (non-conducted) with emphasis on development of independent chamber music performance skills. Personnel and repertoire assigned by performance faculty.	0
472	ENS-666	Music Ensemble	College Visual/Performing Arts	School of Music	Trumpet Ensemble	Performance of literature from all eras, including contemporary works for this medium.	0
473	ENS-667	Music Ensemble	College Visual/Performing Arts	School of Music	Horn Ensemble	Performance of literature from all eras, including contemporary works for this medium.	0
474	ENS-668	Music Ensemble	College Visual/Performing Arts	School of Music	Trombone Ensemble	Performance of literature from all eras, including contemporary works for this medium.	0
475	ENS-669	Music Ensemble	College Visual/Performing Arts	School of Music	Tuba/Euphonium Ensemble	Performance of literature from all eras, including contemporary works for this medium.	0
476	ENS-670	Music Ensemble	College Visual/Performing Arts	School of Music	Percussion Ensemble	Performance of literature from all eras, including contemporary works for this medium.	0
477	ENS-671	Music Ensemble	College Visual/Performing Arts	School of Music	Steelpan Ensemble	Performance of Steelpan Music.	0
478	ENS-676	Music Ensemble	College Visual/Performing Arts	School of Music	Period Music Ensembles	Performance of conducted and non-conducted period literature for winds, string, percussion, and voice.	0
479	ENS-677	Music Ensemble	College Visual/Performing Arts	School of Music	World Music Ensemble	Performance of conducted and non-conducted world music literature.	0
480	ENS-678	Music Ensemble	College Visual/Performing Arts	School of Music	Indian Music	Performance of classical Indian music.	0
481	ENS-679	Music Ensemble	College Visual/Performing Arts	School of Music	Middle Eastern Ensemble	Performance of Arab, Turkish and other middle eastern musics.	0
482	ENS-680	Music Ensemble	College Visual/Performing Arts	School of Music	Men's Glee Club	Choral organization for graduate men's voices.	0
483	ENS-681	Music Ensemble	College Visual/Performing Arts	School of Music	Women's Glee Club	Choral organization for women's voices.	0
484	ENS-682	Music Ensemble	College Visual/Performing Arts	School of Music	University Chorale	Mixed choral organization of approximately 50 singers.	0
485	ENS-683	Music Ensemble	College Visual/Performing Arts	School of Music	Touring Opera	Performance of literature from all eras, including contemporary works for this medium.	0
486	ENS-684	Music Ensemble	College Visual/Performing Arts	School of Music	Opera Role	Performance of literature from all eras, including contemporary works for this medium.	0
487	ENS-685	Music Ensemble	College Visual/Performing Arts	School of Music	Opera Chorus	Performance of literature from all eras, including contemporary works for this medium.	0
488	ENS-687	Music Ensemble	College Visual/Performing Arts	School of Music	Coro di Belle Voci	Choral organization for graduate and undergraduate advanced soprano and alto voices. Audition is required or permission of instructor for admittance into the course.	0
489	ENS-688	Music Ensemble	College Visual/Performing Arts	School of Music	Chamber Singers	Select mixed vocal ensemble of graduate and advanced undergraduate singers.	0
490	ENS-690	Music Ensemble	College Visual/Performing Arts	School of Music	Sinfonia	String orchestra, performance of important works from symphonic repertoire of eighteenth, nineteenth, and twentieth centuries.	0
491	ENS-691	Music Ensemble	College Visual/Performing Arts	School of Music	University Orchestra	Full symphony orchestra performing works from the symphonic repertoire of the eighteenth, nineteenth, and twentieth centuries.	0
492	ENS-692	Music Ensemble	College Visual/Performing Arts	School of Music	University Band	Performance of literature from all eras, including contemporary works for this medium.	0
493	ENS-693	Music Ensemble	College Visual/Performing Arts	School of Music	University Wind Ensemble	Performance of selected works for wind ensemble including both original and transcribed literature.	0
494	ENS-694	Music Ensemble	College Visual/Performing Arts	School of Music	Symphonic Band	Performs literature from all eras, including contemporary works for this medium.	0
495	ENS-695	Music Ensemble	College Visual/Performing Arts	School of Music	Jazz Ensemble	Performance of literature encompassing all of the jazz idioms with emphasis on contemporary composition.	0
496	ENS-696	Music Ensemble	College Visual/Performing Arts	School of Music	Jazz Ensemble II	Performance of literature encompassing all of the jazz idioms with emphasis on contemporary composition.	0
497	ENT-511	Entrepreneurship	Sch of Business and Economics	MRK/ENT/HTM	Silver Industries	Overview of the longevity economy and its influences on entrepreneurial opportunities. Case illustrations highlighted. Using the entrepreneurial business model, students explore opportunities, risks, and rewards in the silver industries market.	0
498	ENT-516	Entrepreneurship	Sch of Business and Economics	MRK/ENT/HTM	Entrepreneurship in Clinical Settings	Designed to teach students how to effectively build and implement a successful business model for the design and delivery of clinical practices, or related services.	0
499	ENT-530	Entrepreneurship	Sch of Business and Economics	MRK/ENT/HTM	Researching Opportunities in Entrepreneurship and Economic Development	Students will learn how to conduct research necessary to make informed decisions for an entrepreneurial venture and measure and assess economic development opportunities. No business research experience necessary.	0
